Model,Category,Storage,Average Price (kr),Median Price (kr)
iPhone 11,Regular,64GB,2379.39,2400.00
iPhone 11,Regular,Unknown,2449.58,2500.00
iPhone 11,Regular,65GB,1950.00,1950.00
iPhone 11,Regular,128GB,2467.56,2500.00
iPhone 11,Regular,256GB,3142.11,2700.00
iPhone 11,Regular,250GB,2000.00,2000.00
iPhone 11,Regular,11GB,3000.00,3000.00
iPhone 11,Regular,512GB,9995.00,9995.00
iPhone 11,Pro,64GB,2647.37,2500.00
iPhone 11,Pro,Unknown,2354.50,2250.00
iPhone 11,Pro,256GB,2972.55,2500.00
iPhone 11,Pro Max,Unknown,3209.95,3000.00
iPhone 11,Pro Max,256GB,3566.47,3500.00
iPhone 11,Pro Max,512GB,4250.00,4250.00
iPhone 11,Pro Max,64GB,4209.89,3800.00
iPhone 12,Regular,64GB,2972.81,2999.00
iPhone 12,Regular,128GB,3651.16,3500.00
iPhone 12,Regular,Unknown,3674.83,3900.00
iPhone 12,Regular,256GB,4252.49,4000.00
iPhone 12,Regular,512GB,5333.33,6500.00
iPhone 12,Regular,265GB,5999.00,5999.00
iPhone 12,Pro,Unknown,3594.29,3500.00
iPhone 12,Pro,128GB,4608.09,4100.00
iPhone 12,Pro,256GB,4534.94,4250.00
iPhone 12,Pro,512GB,4950.00,4950.00
iPhone 12,Pro Max,Unknown,4666.43,4600.00
iPhone 12,Pro Max,128GB,5024.96,4725.00
iPhone 12,Pro Max,256GB,5083.33,5000.00
iPhone 12,Pro Max,125GB,4300.00,4300.00
iPhone 12,Pro Max,512GB,9500.00,9500.00
iPhone 13,Regular,Unknown,5090.29,5000.00
iPhone 13,Regular,128GB,4753.15,4500.00
iPhone 13,Regular,256GB,5512.16,5000.00
iPhone 13,Regular,265GB,5500.00,5500.00
iPhone 13,Regular,512GB,7833.00,7500.00
iPhone 13,Pro,256GB,5673.22,5550.00
iPhone 13,Pro,Unknown,5586.76,5449.50
iPhone 13,Pro,128GB,5387.02,5500.00
iPhone 13,Pro,126GB,6500.00,6500.00
iPhone 13,Pro,512GB,6448.57,5745.00
iPhone 13,Pro Max,256GB,6708.46,6500.00
iPhone 13,Pro Max,128GB,6025.66,6000.00
iPhone 13,Pro Max,Unknown,6686.57,6500.00
iPhone 13,Pro Max,512GB,6510.00,6500.00
iPhone 13,Pro Max,126GB,6500.00,6500.00
iPhone 13,Pro Max,1000GB,9000.00,9000.00
iPhone 14,Regular,Unknown,7177.95,7000.00
iPhone 14,Regular,256GB,7876.07,7900.00
iPhone 14,Regular,128GB,7052.62,7000.00
iPhone 14,Regular,512GB,11320.00,10500.00
iPhone 14,Pro,Unknown,7974.39,8000.00
iPhone 14,Pro,256GB,7550.25,7500.00
iPhone 14,Pro,128GB,7452.47,7000.00
iPhone 14,Pro,125GB,11000.00,11000.00
iPhone 14,Pro,512GB,8225.00,8225.00
iPhone 14,Pro Max,128GB,7841.95,7375.00
iPhone 14,Pro Max,256GB,8817.00,8500.00
iPhone 14,Pro Max,Unknown,9387.57,8995.00
iPhone 14,Pro Max,512GB,9666.67,9250.00
iPhone 14,Pro Max,126GB,7500.00,7500.00
iPhone 15,Regular,Unknown,10614.95,10500.00
iPhone 15,Regular,256GB,11349.87,11000.00
iPhone 15,Regular,265GB,16800.00,16800.00
iPhone 15,Regular,512GB,12999.80,13000.00
iPhone 15,Regular,128GB,9701.91,9490.00
iPhone 15,Regular,126GB,9000.00,9000.00
iPhone 15,Pro,Unknown,9091.50,10000.00
iPhone 15,Pro,512GB,11583.33,11500.00
iPhone 15,Pro,256GB,11099.45,10750.00
iPhone 15,Pro,128GB,10693.74,10500.00
iPhone 15,Pro Max,Unknown,13842.19,13500.00
iPhone 15,Pro Max,512GB,13240.00,13500.00
iPhone 15,Pro Max,256GB,12803.34,12500.00
iPhone 16,Regular,Unknown,14238.67,14000.00
iPhone 16,Regular,512GB,18000.00,18000.00
iPhone 16,Regular,256GB,13000.00,13000.00
iPhone 16,Regular,128GB,12333.00,12000.00
iPhone 16,Pro,Unknown,13555.57,14500.00
iPhone 16,Pro,256GB,15199.67,15500.00
iPhone 16,Pro,128GB,14150.00,14150.00
iPhone 16,Pro Max,256GB,17525.71,17000.00
iPhone 16,Pro Max,Unknown,19250.00,19250.00
iPhone 16,Pro Max,512GB,18000.00,18000.00
